Area,Area Id,Variable Name,Variable Id,Year,Value
Algeria,4,Total freshwater withdrawal (primary and secondary),4263,1980,3
Austria,11,Fresh surface water withdrawal (primary and secondary),4261,1980,2.205
Austria,11,Fresh groundwater withdrawal (primary and secondary),4262,1980,1.135
Austria,11,Total freshwater withdrawal (primary and secondary),4263,1980,3.34
Austria,11,Desalinated water produced,4264,1980,0.0022
Belgium,255,Total freshwater withdrawal (primary and secondary),4263,1980,9.03
Bulgaria,27,Total freshwater withdrawal (primary and secondary),4263,1980,14.18
China,351,Fresh surface water withdrawal (primary and secondary),4261,1980,381.7
China,351,Fresh groundwater withdrawal (primary and secondary),4262,1980,62
China,351,Total freshwater withdrawal (primary and secondary),4263,1980,443.7
Cyprus,50,Total freshwater withdrawal (primary and secondary),4263,1980,0.177
Denmark,54,Fresh surface water withdrawal (primary and secondary),4261,1980,0.045
Denmark,54,Fresh groundwater withdrawal (primary and secondary),4262,1980,1.16
Denmark,54,Total freshwater withdrawal (primary and secondary),4263,1980,1.205
Eswatini,209,Total freshwater withdrawal (primary and secondary),4263,1980,0.657
Finland,67,Fresh surface water withdrawal (primary and secondary),4261,1980,3.51
Finland,67,Fresh groundwater withdrawal (primary and secondary),4262,1980,0.19
Finland,67,Total freshwater withdrawal (primary and secondary),4263,1980,3.7
Finland,67,Desalinated water produced,4264,1980,1.00E-04
France,68,Fresh surface water withdrawal (primary and secondary),4261,1980,25.26
France,68,Fresh groundwater withdrawal (primary and secondary),4262,1980,5.704
France,68,Total freshwater withdrawal (primary and secondary),4263,1980,30.96
France,68,Desalinated water produced,4264,1980,0.0117
Gambia,75,Total freshwater withdrawal (primary and secondary),4263,1982,0.02
Greece,84,Fresh surface water withdrawal (primary and secondary),4261,1980,3.46
Greece,84,Fresh groundwater withdrawal (primary and secondary),4262,1980,1.57
Greece,84,Total freshwater withdrawal (primary and secondary),4263,1980,5.03
Greece,84,Desalinated water produced,4264,1980,0.01
Hungary,97,Fresh surface water withdrawal (primary and secondary),4261,1980,3.551
Hungary,97,Fresh groundwater withdrawal (primary and secondary),4262,1980,1.254
Hungary,97,Total freshwater withdrawal (primary and secondary),4263,1980,4.805
Iceland,99,Fresh surface water withdrawal (primary and secondary),4261,1980,0.005
Iceland,99,Fresh groundwater withdrawal (primary and secondary),4262,1980,0.103
Iceland,99,Total freshwater withdrawal (primary and secondary),4263,1980,0.108
India,100,Total freshwater withdrawal (primary and secondary),4263,1980,438.3
India,100,Produced municipal wastewater,4269,1979,3.01
India,100,Treated municipal wastewater,4270,1979,1.003
Iraq,103,Total freshwater withdrawal (primary and secondary),4263,1980,40.8
Ireland,104,Fresh surface water withdrawal (primary and secondary),4261,1980,0.945
Ireland,104,Fresh groundwater withdrawal (primary and secondary),4262,1980,0.125
Ireland,104,Total freshwater withdrawal (primary and secondary),4263,1980,1.07
Israel,105,Total freshwater withdrawal (primary and secondary),4263,1980,1.643
Israel,105,Direct use of treated municipal wastewater,4535,1982,0.057
Israel,105,Produced municipal wastewater,4269,1982,0.251
Israel,105,Treated municipal wastewater,4270,1982,0.137
Japan,110,Total freshwater withdrawal (primary and secondary),4263,1980,88.2
Jordan,112,Total freshwater withdrawal (primary and secondary),4263,1980,0.535
Libya,124,Total freshwater withdrawal (primary and secondary),4263,1980,1.47
Luxembourg,256,Total freshwater withdrawal (primary and secondary),4263,1980,0.0397
Malta,134,Total freshwater withdrawal (primary and secondary),4263,1980,0.02
Mauritania,136,Total freshwater withdrawal (primary and secondary),4263,1980,0.73
Mexico,138,Fresh surface water withdrawal (primary and secondary),4261,1980,39.34
Mexico,138,Fresh groundwater withdrawal (primary and secondary),4262,1980,16.63
Mexico,138,Total freshwater withdrawal (primary and secondary),4263,1980,55.97
Mexico,138,Desalinated water produced,4264,1980,0.0307
Morocco,143,Total freshwater withdrawal (primary and secondary),4263,1980,10.05
Netherlands,150,Fresh surface water withdrawal (primary and secondary),4261,1980,8.19
Netherlands,150,Fresh groundwater withdrawal (primary and secondary),4262,1980,1.008
Netherlands,150,Total freshwater withdrawal (primary and secondary),4263,1980,9.198
Netherlands,150,Produced municipal wastewater,4269,1980,1.394
Netherlands,150,Collected municipal wastewater,4493,1980,1.204
