Country,Variable,Predicted Year,Year - 10,Year - 5,Predicted Value
Armenia,% of total country area cultivated,2002,16.24,16.75,16.51
Armenia,% of total country area cultivated,2007,16.75,16.51,17.02
Armenia,% of total country area cultivated,2012,16.51,17.02,16.98
Armenia,GDP per capita,2002,369.6,523.3,783.2
Armenia,GDP per capita,2007,523.3,783.2,3139.0
Armenia,GDP per capita,2012,783.2,3139.0,3685.0
Armenia,Cultivated area (arable land + permanent crops),2002,483.0,498.0,491.0
Armenia,Cultivated area (arable land + permanent crops),2007,498.0,491.0,506.1
Armenia,Cultivated area (arable land + permanent crops),2012,491.0,506.1,505.1
Armenia,Total area of the country (excl. coastal waters),2002,2974.0,2974.0,2974.0
Armenia,Total area of the country (excl. coastal waters),2007,2974.0,2974.0,2974.0
Armenia,Total area of the country (excl. coastal waters),2012,2974.0,2974.0,2974.0
Armenia,Arable land area,2002,423.0,455.0,455.0
Armenia,Arable land area,2007,455.0,455.0,452.1
Armenia,Arable land area,2012,455.0,452.1,448.4
Armenia,Permanent crops area,2002,60.0,43.0,36.0
Armenia,Permanent crops area,2007,43.0,36.0,54.0
Armenia,Permanent crops area,2012,36.0,54.0,56.7
Armenia,"Agriculture, value added (% GDP)",2002,31.04,31.97,25.96
Armenia,"Agriculture, value added (% GDP)",2007,31.97,25.96,20.28
Armenia,"Agriculture, value added (% GDP)",2012,25.96,20.28,20.07
Armenia,Surface water: outflow to other countries submitted to treaties,2002,0.0,0.0,0.0
Armenia,Surface water: outflow to other countries submitted to treaties,2007,0.0,0.0,0.0
Armenia,Surface water: outflow to other countries submitted to treaties,2012,0.0,0.0,0.0
Armenia,Surface water: leaving the country to other countries (total),2002,5.28,5.28,5.28
Armenia,Surface water: leaving the country to other countries (total),2007,5.28,5.28,5.28
Armenia,Surface water: leaving the country to other countries (total),2012,5.28,5.28,5.28
Armenia,Surface water: outflow to other countries not submitted to treaties,2002,5.28,5.28,5.28
Armenia,Surface water: outflow to other countries not submitted to treaties,2007,5.28,5.28,5.28
Armenia,Surface water: outflow to other countries not submitted to treaties,2012,5.28,5.28,5.28
Armenia,Groundwater: accounted outflow to other countries,2002,0.09230769230769231,0.08461538461538462,0.07692307692307693
Armenia,Groundwater: accounted outflow to other countries,2007,0.08461538461538462,0.07692307692307693,0.06153846153846154
Armenia,Groundwater: accounted outflow to other countries,2012,0.07692307692307693,0.06153846153846154,0.05384615384615385
Armenia,Groundwater: leaving the country to other countries (total),2002,0.09230769230769231,0.08461538461538462,0.07692307692307693
Armenia,Groundwater: leaving the country to other countries (total),2007,0.08461538461538462,0.07692307692307693,0.06153846153846154
Armenia,Groundwater: leaving the country to other countries (total),2012,0.07692307692307693,0.06153846153846154,0.05384615384615385
Armenia,Total exploitable water resources,2002,7.333846153846154,6.7676923076923075,6.201538461538462
Armenia,Total exploitable water resources,2007,6.7676923076923075,6.201538461538462,5.069230769230769
Armenia,Total exploitable water resources,2012,6.201538461538462,5.069230769230769,4.503076923076923
Armenia,Exploitable: regular renewable groundwater,2002,1.7692307692307692,1.6384615384615384,1.5076923076923077
Armenia,Exploitable: regular renewable groundwater,2007,1.6384615384615384,1.5076923076923077,1.2461538461538462
Armenia,Exploitable: regular renewable groundwater,2012,1.5076923076923077,1.2461538461538462,1.1153846153846152
Armenia,Urban population with access to safe drinking-water (JMP),2002,98.1,98.2,98.7
Armenia,Urban population with access to safe drinking-water (JMP),2007,98.2,98.7,99.3
Armenia,Urban population with access to safe drinking-water (JMP),2012,98.7,99.3,99.8
Armenia,Rural population with access to safe drinking-water (JMP),2002,75.8,77.3,84.7
Armenia,Rural population with access to safe drinking-water (JMP),2007,77.3,84.7,92.0
Armenia,Rural population with access to safe drinking-water (JMP),2012,84.7,92.0,99.4
Armenia,Total population with access to safe drinking-water (JMP),2002,90.7,91.0,93.7
Armenia,Total population with access to safe drinking-water (JMP),2007,91.0,93.7,96.7
Armenia,Total population with access to safe drinking-water (JMP),2012,93.7,96.7,99.7
Armenia,Irrigation potential,2002,653.7,653.7,653.7
Armenia,Irrigation potential,2007,653.7,653.7,666.0
Armenia,Irrigation potential,2012,653.7,666.0,666.0
Azerbaijan,Water resources: total external renewable,2002,26.56,26.56,26.56
Azerbaijan,Water resources: total external renewable,2007,26.56,26.56,26.56
Azerbaijan,Water resources: total external renewable,2012,26.56,26.56,26.56
Azerbaijan,Surface water: total flow of border rivers,2002,2.36,2.36,2.36
Azerbaijan,Surface water: total flow of border rivers,2007,2.36,2.36,2.36
Azerbaijan,Surface water: total flow of border rivers,2012,2.36,2.36,2.36
Azerbaijan,Surface water: outflow to other countries secured through treaties,2002,0.0,0.0,0.0
Azerbaijan,Surface water: outflow to other countries secured through treaties,2007,0.0,0.0,0.0
Azerbaijan,Surface water: outflow to other countries secured through treaties,2012,0.0,0.0,0.0
Azerbaijan,Surface water: inflow submitted to treaties,2002,0.0,0.0,0.0
Azerbaijan,Surface water: inflow submitted to treaties,2007,0.0,0.0,0.0
Azerbaijan,Surface water: inflow submitted to treaties,2012,0.0,0.0,0.0
Azerbaijan,Surface water: inflow secured through treaties,2002,0.0,0.0,0.0
Azerbaijan,Surface water: inflow secured through treaties,2007,0.0,0.0,0.0
Azerbaijan,Surface water: inflow secured through treaties,2012,0.0,0.0,0.0
Azerbaijan,Surface water: inflow not submitted to treaties,2002,25.38,25.38,25.38
Azerbaijan,Surface water: inflow not submitted to treaties,2007,25.38,25.38,25.38
Azerbaijan,Surface water: inflow not submitted to treaties,2012,25.38,25.38,25.38
Azerbaijan,Surface water: entering the country (total),2002,19.76,19.76,19.76
Azerbaijan,Surface water: entering the country (total),2007,19.76,19.76,19.76
Azerbaijan,Surface water: entering the country (total),2012,19.76,19.76,19.76
Azerbaijan,Surface water: accounted inflow,2002,26.56,26.56,26.56
Azerbaijan,Surface water: accounted inflow,2007,26.56,26.56,26.56
Azerbaijan,Surface water: accounted inflow,2012,26.56,26.56,26.56
Azerbaijan,Surface water: accounted flow of border rivers,2002,1.18,1.18,1.18
Azerbaijan,Surface water: accounted flow of border rivers,2007,1.18,1.18,1.18
Azerbaijan,Surface water: accounted flow of border rivers,2012,1.18,1.18,1.18
Azerbaijan,Surface water produced internally,2002,5.955,5.955,5.955
Azerbaijan,Surface water produced internally,2007,5.955,5.955,5.955
Azerbaijan,Surface water produced internally,2012,5.955,5.955,5.955
Azerbaijan,Rural population,2002,3513.0,3839.0,3989.0
Azerbaijan,Rural population,2007,3839.0,3989.0,4094.0
Azerbaijan,Rural population,2012,3989.0,4094.0,4252.0
Azerbaijan,Population density,2002,86.28,91.52,95.58
Azerbaijan,Population density,2007,91.52,95.58,100.7
Azerbaijan,Population density,2012,95.58,100.7,107.0
Azerbaijan,Overlap: between surface water and groundwater,2002,4.35,4.35,4.35
Azerbaijan,Overlap: between surface water and groundwater,2007,4.35,4.35,4.35
Azerbaijan,Overlap: between surface water and groundwater,2012,4.35,4.35,4.35
Azerbaijan,Overlap between surface water and groundwater,2002,4.35,4.35,4.35
Azerbaijan,Overlap between surface water and groundwater,2007,4.35,4.35,4.35
Azerbaijan,Overlap between surface water and groundwater,2012,4.35,4.35,4.35
Azerbaijan,Long-term average annual precipitation in volume,2002,38.71,38.71,38.71
Azerbaijan,Long-term average annual precipitation in volume,2007,38.71,38.71,38.71
Azerbaijan,Long-term average annual precipitation in volume,2012,38.71,38.71,38.71
Azerbaijan,Long-term average annual precipitation in depth,2002,447.0,447.0,447.0
Azerbaijan,Long-term average annual precipitation in depth,2007,447.0,447.0,447.0
Azerbaijan,Long-term average annual precipitation in depth,2012,447.0,447.0,447.0
Azerbaijan,Groundwater: entering the country (total),2002,0.0,0.0,0.0
Azerbaijan,Groundwater: entering the country (total),2007,0.0,0.0,0.0
Azerbaijan,Groundwater: entering the country (total),2012,0.0,0.0,0.0
Azerbaijan,Groundwater: accounted inflow,2002,0.0,0.0,0.0
Azerbaijan,Groundwater: accounted inflow,2007,0.0,0.0,0.0
Azerbaijan,Groundwater: accounted inflow,2012,0.0,0.0,0.0
Azerbaijan,Groundwater produced internally,2002,6.51,6.51,6.51
Azerbaijan,Groundwater produced internally,2007,6.51,6.51,6.51
Azerbaijan,Groundwater produced internally,2012,6.51,6.51,6.51
Azerbaijan,Environmental Flow Requirements,2002,12.03,12.03,12.03
Azerbaijan,Environmental Flow Requirements,2007,12.03,12.03,12.03
Azerbaijan,Environmental Flow Requirements,2012,12.03,12.03,12.03
Azerbaijan,Dependency ratio,2002,76.6,76.6,76.6
Azerbaijan,Dependency ratio,2007,76.6,76.6,76.6
Azerbaijan,Dependency ratio,2012,76.6,76.6,76.6
