Area,Area Id,Variable Name,Variable Id,Year,Value
Afghanistan,2,Total area of the country (excl. coastal waters),4100,1982,65286
Afghanistan,2,Arable land area,4101,1982,7910
Afghanistan,2,Permanent crops area,4102,1982,144
Afghanistan,2,Cultivated area (arable land + permanent crops),4103,1982,8054
Afghanistan,2,Population density,4107,1982,19.53
Albania,3,Total area of the country (excl. coastal waters),4100,1982,2875
Albania,3,Arable land area,4101,1982,589
Albania,3,Permanent crops area,4102,1982,120
Albania,3,Cultivated area (arable land + permanent crops),4103,1982,709
Albania,3,Population density,4107,1982,96.97
Algeria,4,Total area of the country (excl. coastal waters),4100,1982,238174
Algeria,4,Arable land area,4101,1982,6881
Algeria,4,Permanent crops area,4102,1982,628
Algeria,4,Cultivated area (arable land + permanent crops),4103,1982,7509
Algeria,4,Population density,4107,1982,8.639
Andorra,6,Total area of the country (excl. coastal waters),4100,1982,47
Andorra,6,Arable land area,4101,1982,1
Andorra,6,Permanent crops area,4102,1982,0
Andorra,6,Cultivated area (arable land + permanent crops),4103,1982,1
Andorra,6,Population density,4107,1982,83.21
Angola,7,Total area of the country (excl. coastal waters),4100,1982,124670
Angola,7,Arable land area,4101,1982,2900
Angola,7,Permanent crops area,4102,1982,500
Angola,7,Cultivated area (arable land + permanent crops),4103,1982,3400
Angola,7,Population density,4107,1982,7.686
Antigua and Barbuda,8,Total area of the country (excl. coastal waters),4100,1982,44
Antigua and Barbuda,8,Arable land area,4101,1982,3
Antigua and Barbuda,8,Permanent crops area,4102,1982,1
Antigua and Barbuda,8,Cultivated area (arable land + permanent crops),4103,1982,4
Antigua and Barbuda,8,Population density,4107,1982,164.7
Argentina,9,Total area of the country (excl. coastal waters),4100,1982,278040
Argentina,9,Arable land area,4101,1982,27000
Argentina,9,Permanent crops area,4102,1982,992
Argentina,9,Cultivated area (arable land + permanent crops),4103,1982,27992
Argentina,9,Population density,4107,1982,10.43
Australia,10,Total area of the country (excl. coastal waters),4100,1982,774122
Australia,10,Arable land area,4101,1982,46374
Australia,10,Permanent crops area,4102,1982,157
Australia,10,Cultivated area (arable land + permanent crops),4103,1982,46531
Australia,10,Population density,4107,1982,1.943
Austria,11,Total area of the country (excl. coastal waters),4100,1982,8388
Austria,11,Arable land area,4101,1982,1535
Austria,11,Permanent crops area,4102,1982,99
Austria,11,Cultivated area (arable land + permanent crops),4103,1982,1634
Austria,11,Population density,4107,1982,90.63
Bahamas,12,Total area of the country (excl. coastal waters),4100,1982,1388
Bahamas,12,Arable land area,4101,1982,7
Bahamas,12,Permanent crops area,4102,1982,2
Bahamas,12,Cultivated area (arable land + permanent crops),4103,1982,9
Bahamas,12,Population density,4107,1982,15.87
Bahrain,13,Total area of the country (excl. coastal waters),4100,1982,69
Bahrain,13,Arable land area,4101,1982,2
Bahrain,13,Permanent crops area,4102,1982,2
Bahrain,13,Cultivated area (arable land + permanent crops),4103,1982,4
Bahrain,13,Population density,4107,1982,559.4
Bangladesh,16,Total area of the country (excl. coastal waters),4100,1982,14846
Bangladesh,16,Arable land area,4101,1982,9104
Bangladesh,16,Permanent crops area,4102,1982,274
Bangladesh,16,Cultivated area (arable land + permanent crops),4103,1982,9378
Bangladesh,16,Population density,4107,1982,579.3
Barbados,14,Total area of the country (excl. coastal waters),4100,1982,43
Barbados,14,Arable land area,4101,1982,16
Barbados,14,Permanent crops area,4102,1982,1
Barbados,14,Cultivated area (arable land + permanent crops),4103,1982,17
Barbados,14,Population density,4107,1982,590.2
Belize,23,Total area of the country (excl. coastal waters),4100,1982,2297
Belize,23,Arable land area,4101,1982,46
Belize,23,Permanent crops area,4102,1982,7
Belize,23,Cultivated area (arable land + permanent crops),4103,1982,53
Belize,23,Population density,4107,1982,6.596
Benin,53,Total area of the country (excl. coastal waters),4100,1982,11476
Benin,53,Arable land area,4101,1982,1550
Benin,53,Permanent crops area,4102,1982,90
Benin,53,Cultivated area (arable land + permanent crops),4103,1982,1640
Benin,53,Population density,4107,1982,34.23
Bhutan,18,Total area of the country (excl. coastal waters),4100,1982,4700
Bhutan,18,Arable land area,4101,1982,135
